archivo,ruta_en_material_piloto,ruta_original_relativa,categoria,rol_canonico,evidencia_de_clasificacion,contiene_datos_estudio_principal,tamano_bytes,fecha_modificacion_original,sha256_origen,sha256_destino,estado
emb_piloto_t1.rds,02_datos_procesados/datos_piloto_extra/emb_piloto_t1.rds,Analisis agosto/analisis_piloto/datos_piloto_extra/emb_piloto_t1.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,73,2026-08-24 21:13:12,9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,VERIFICADO
emb_piloto_t2.rds,02_datos_procesados/datos_piloto_extra/emb_piloto_t2.rds,Analisis agosto/analisis_piloto/datos_piloto_extra/emb_piloto_t2.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,73,2026-08-24 21:13:14,9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,VERIFICADO
emb_piloto_t3.rds,02_datos_procesados/datos_piloto_extra/emb_piloto_t3.rds,Analisis agosto/analisis_piloto/datos_piloto_extra/emb_piloto_t3.rds,PILOTO_DATO_PROCESADO,objeto procesado del piloto (17 participantes),Extracción de objetos del piloto (17 filas),NO,73,2026-08-24 21:13:15,9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,9a067c2f139c790b3eb85860549a7f37385b3a85fa4a0b2f89ab01de84b093c3,VERIFICADO
README_ANALISIS_PILOTO.txt,03_resultados/README_ANALISIS_PILOTO.txt,Analisis agosto/analisis_piloto/README_ANALISIS_PILOTO.txt,PILOTO_DOC,reporte de ejecución del análisis del piloto,Reporte de ejecución: modelos del piloto y del principal,SI,2145,2026-08-24 21:10:39,f25f84d4327e7f72e13c2b09ec2bff23b9ea12592ed1046f682035239b75d1c7,f25f84d4327e7f72e13c2b09ec2bff23b9ea12592ed1046f682035239b75d1c7,VERIFICADO
piloto_n_palabras_calculado_diagnosticos.csv,03_resultados/diagnosticos/piloto_n_palabras_calculado_diagnosticos.csv,Analisis agosto/analisis_piloto/diagnosticos/piloto_n_palabras_calculado_diagnosticos.csv,PILOTO_DIAGNOSTICO,diagnóstico del modelo del piloto,Diagnóstico del modelo del piloto (51 obs),NO,2110,2026-08-24 21:09:58,ca0dbee142f04bb4f6ad5e1e1fe7d11698171e3740735e1d174fcbcc8a2763b1,ca0dbee142f04bb4f6ad5e1e1fe7d11698171e3740735e1d174fcbcc8a2763b1,VERIFICADO
piloto_n_palabras_calculado_performance.txt,03_resultados/diagnosticos/piloto_n_palabras_calculado_performance.txt,Analisis agosto/analisis_piloto/diagnosticos/piloto_n_palabras_calculado_performance.txt,PILOTO_DIAGNOSTICO,diagnóstico del modelo del piloto,Diagnóstico del modelo del piloto (51 obs),NO,71393,2026-08-24 22:11:51,08806d20094fa85c33ddcef05c81f314db087f6d2a7db5073de9180b36370a35,08806d20094fa85c33ddcef05c81f314db087f6d2a7db5073de9180b36370a35,VERIFICADO
COMPARACION_n_palabras_calculado_ES.pdf,03_resultados/figuras_comparativas/COMPARACION_n_palabras_calculado_ES.pdf,Analisis agosto/analisis_piloto/graficas_es/COMPARACION_n_palabras_calculado_ES.pdf,PILOTO_FIGURA,"documento de estudio, resultados o resumen",Figura comparativa piloto vs principal,SI,32580,2026-08-24 21:10:11,23c0568b0d89630400dfaf43caf643236a5e50be5f8c83fa92aa27be0fc3d952,23c0568b0d89630400dfaf43caf643236a5e50be5f8c83fa92aa27be0fc3d952,VERIFICADO
COMPARACION_n_palabras_calculado_ES.png,03_resultados/figuras_comparativas/COMPARACION_n_palabras_calculado_ES.png,Analisis agosto/analisis_piloto/graficas_es/COMPARACION_n_palabras_calculado_ES.png,PILOTO_FIGURA,figura comparativa piloto vs principal,Figura comparativa piloto vs principal,SI,340551,2026-08-24 21:10:09,a8c48a07faed63177ae9bccc7f2161ac02c8b109c8911f594c98f3cea4c02633,a8c48a07faed63177ae9bccc7f2161ac02c8b109c8911f594c98f3cea4c02633,VERIFICADO
COMPARISON_n_palabras_calculado_EN.pdf,03_resultados/figuras_comparativas/COMPARISON_n_palabras_calculado_EN.pdf,Analisis agosto/analisis_piloto/figures_en/COMPARISON_n_palabras_calculado_EN.pdf,PILOTO_FIGURA,"documento de estudio, resultados o resumen",Figura comparativa piloto vs principal,SI,33986,2026-08-24 21:10:13,0bf2ecd59c1a0cee67d8b0f4906bd3d22a4b169c5fc3030e60a33bce86039b2a,0bf2ecd59c1a0cee67d8b0f4906bd3d22a4b169c5fc3030e60a33bce86039b2a,VERIFICADO
COMPARISON_n_palabras_calculado_EN.png,03_resultados/figuras_comparativas/COMPARISON_n_palabras_calculado_EN.png,Analisis agosto/analisis_piloto/figures_en/COMPARISON_n_palabras_calculado_EN.png,PILOTO_FIGURA,figura comparativa piloto vs principal,Figura comparativa piloto vs principal,SI,340464,2026-08-24 21:10:13,0fa2ac9ffc1aa6a3ac4e03943c027d608ba1e72543622eaa6e2e8560ec5fd33b,0fa2ac9ffc1aa6a3ac4e03943c027d608ba1e72543622eaa6e2e8560ec5fd33b,VERIFICADO
PILOTO_n_palabras_calculado_ES_distribucion.pdf,03_resultados/figuras_piloto/PILOTO_n_palabras_calculado_ES_distribucion.pdf,Analisis agosto/analisis_piloto/graficas_es/PILOTO_n_palabras_calculado_ES_distribucion.pdf,PILOTO_FIGURA,"documento de estudio, resultados o resumen",Figura generada del piloto,NO,29396,2026-08-24 21:07:12,fa200491d969656fe600003e117122a1b94ba65343e1594c1402afe14dbf3245,fa200491d969656fe600003e117122a1b94ba65343e1594c1402afe14dbf3245,VERIFICADO
PILOTO_n_palabras_calculado_ES_distribucion.png,03_resultados/figuras_piloto/PILOTO_n_palabras_calculado_ES_distribucion.png,Analisis agosto/analisis_piloto/graficas_es/PILOTO_n_palabras_calculado_ES_distribucion.png,PILOTO_FIGURA,figura del piloto,Figura generada del piloto,NO,193143,2026-08-24 21:07:12,f7e8a00c4ee7c8d99fb1736292d6d9dcd9acac89a0a40e3faa26168d7f543f2b,f7e8a00c4ee7c8d99fb1736292d6d9dcd9acac89a0a40e3faa26168d7f543f2b,VERIFICADO
PILOTO_n_palabras_calculado_ES_individuales.pdf,03_resultados/figuras_piloto/PILOTO_n_palabras_calculado_ES_individuales.pdf,Analisis agosto/analisis_piloto/graficas_es/PILOTO_n_palabras_calculado_ES_individuales.pdf,PILOTO_FIGURA,"documento de estudio, resultados o resumen",Figura generada del piloto,NO,29600,2026-08-24 21:07:09,f88f0e03459361fa35685beb33254875bdefb0d1a21ad51e375d740ead942351,f88f0e03459361fa35685beb33254875bdefb0d1a21ad51e375d740ead942351,VERIFICADO
PILOTO_n_palabras_calculado_ES_individuales.png,03_resultados/figuras_piloto/PILOTO_n_palabras_calculado_ES_individuales.png,Analisis agosto/analisis_piloto/graficas_es/PILOTO_n_palabras_calculado_ES_individuales.png,PILOTO_FIGURA,figura del piloto,Figura generada del piloto,NO,449872,2026-08-24 21:07:09,9f3de29262235bdca128f177d22d2a674d5e3e36d5c2eb93d39fef4b97f508fe,9f3de29262235bdca128f177d22d2a674d5e3e36d5c2eb93d39fef4b97f508fe,VERIFICADO
PILOTO_n_palabras_calculado_ES_trayectoria.pdf,03_resultados/figuras_piloto/PILOTO_n_palabras_calculado_ES_trayectoria.pdf,Analisis agosto/analisis_piloto/graficas_es/PILOTO_n_palabras_calculado_ES_trayectoria.pdf,PILOTO_FIGURA,"documento de estudio, resultados o resumen",Figura generada del piloto,NO,32025,2026-08-24 21:07:08,52df314a8a9afede2210f086ca0c4abb080852ef549d491e895030e752e8306e,52df314a8a9afede2210f086ca0c4abb080852ef549d491e895030e752e8306e,VERIFICADO
PILOTO_n_palabras_calculado_ES_trayectoria.png,03_resultados/figuras_piloto/PILOTO_n_palabras_calculado_ES_trayectoria.png,Analisis agosto/analisis_piloto/graficas_es/PILOTO_n_palabras_calculado_ES_trayectoria.png,PILOTO_FIGURA,figura del piloto,Figura generada del piloto,NO,244294,2026-08-24 21:07:07,30c125b1e139a14ec4bfa3afac42bff391cade12d7d4ed251743952ccbcf53e0,30c125b1e139a14ec4bfa3afac42bff391cade12d7d4ed251743952ccbcf53e0,VERIFICADO
PILOT_n_palabras_calculado_EN_distribucion.pdf,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_distribucion.pdf,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_distribucion.pdf,PILOTO_FIGURA,"documento de estudio, resultados o resumen",Figura generada del piloto,NO,29204,2026-08-24 21:07:18,29b7b7ea12664b21d4eb6b86bd8ccb42bc6d40f5b8ba5b27dda0bf585905bce3,29b7b7ea12664b21d4eb6b86bd8ccb42bc6d40f5b8ba5b27dda0bf585905bce3,VERIFICADO
PILOT_n_palabras_calculado_EN_distribucion.png,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_distribucion.png,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_distribucion.png,PILOTO_FIGURA,figura del piloto,Figura generada del piloto,NO,187106,2026-08-24 21:07:18,c1811aa383d13ab0b0a485b45b29642551a6ce2eda46e2d1910827f736bb5408,c1811aa383d13ab0b0a485b45b29642551a6ce2eda46e2d1910827f736bb5408,VERIFICADO
PILOT_n_palabras_calculado_EN_individuales.pdf,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_individuales.pdf,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_individuales.pdf,PILOTO_FIGURA,"documento de estudio, resultados o resumen",Figura generada del piloto,NO,29938,2026-08-24 21:07:16,9e34af7321f84855085fd7d2b87e6e7009c282274d1f7823899125f90a349740,9e34af7321f84855085fd7d2b87e6e7009c282274d1f7823899125f90a349740,VERIFICADO
PILOT_n_palabras_calculado_EN_individuales.png,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_individuales.png,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_individuales.png,PILOTO_FIGURA,figura del piloto,Figura generada del piloto,NO,447506,2026-08-24 21:07:16,1d81ccffcb5d06904891d3e94b002274508e79bc23f2ed9897fb9f6282e62d3c,1d81ccffcb5d06904891d3e94b002274508e79bc23f2ed9897fb9f6282e62d3c,VERIFICADO
PILOT_n_palabras_calculado_EN_trayectoria.pdf,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_trayectoria.pdf,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_trayectoria.pdf,PILOTO_FIGURA,"documento de estudio, resultados o resumen",Figura generada del piloto,NO,33788,2026-08-24 21:07:14,db655ed47a33118f050de07f7f14a5a9b88db20c75ed407d9acc134eb4400af5,db655ed47a33118f050de07f7f14a5a9b88db20c75ed407d9acc134eb4400af5,VERIFICADO
PILOT_n_palabras_calculado_EN_trayectoria.png,03_resultados/figuras_piloto/PILOT_n_palabras_calculado_EN_trayectoria.png,Analisis agosto/analisis_piloto/figures_en/PILOT_n_palabras_calculado_EN_trayectoria.png,PILOTO_FIGURA,figura del piloto,Figura generada del piloto,NO,246709,2026-08-24 21:07:14,15f3ad4ca85c82421dd1d4e52f99ef1806d16ab8cae360f59438c5f3aef225b2,15f3ad4ca85c82421dd1d4e52f99ef1806d16ab8cae360f59438c5f3aef225b2,VERIFICADO
modelos_comparativos.rds,03_resultados/modelos_comparativos/modelos_comparativos.rds,Analisis agosto/analisis_piloto/modelos/modelos_comparativos.rds,PILOTO_MODELO,modelo mixto que incluye la cohorte principal,Objeto de modelo mixto lme4,SI,103077,2026-08-24 21:10:19,0141c5756e6c26a9cf9a996685e7c4efa99355fec0fca3c6fe8b9bef903b5c50,0141c5756e6c26a9cf9a996685e7c4efa99355fec0fca3c6fe8b9bef903b5c50,VERIFICADO
modelos_principal.rds,03_resultados/modelos_comparativos/modelos_principal.rds,Analisis agosto/analisis_piloto/modelos/modelos_principal.rds,PILOTO_MODELO,modelo mixto que incluye la cohorte principal,Objeto de modelo mixto lme4,SI,117415,2026-08-24 21:10:18,25a3ae0adf29cf581084d0774e13eb4aa25366157dbc324dba8aaa0f1aebc062,25a3ae0adf29cf581084d0774e13eb4aa25366157dbc324dba8aaa0f1aebc062,VERIFICADO
modelos_piloto.rds,03_resultados/modelos_piloto/modelos_piloto.rds,Analisis agosto/analisis_piloto/modelos/modelos_piloto.rds,PILOTO_MODELO,modelo mixto del piloto,Objeto de modelo mixto lme4,NO,113390,2026-08-24 21:10:16,3807307857365fc1008480e0dc929841ecd196a2630976c1f78bb1e74ed67192,3807307857365fc1008480e0dc929841ecd196a2630976c1f78bb1e74ed67192,VERIFICADO
auditoria_principal.csv,03_resultados/tablas_comparativas/auditoria_principal.csv,Analisis agosto/analisis_piloto/tablas/auditoria_principal.csv,PILOTO_COMPARATIVO,tabla que incluye la cohorte principal,Tabla comparativa: incluye la cohorte principal,SI,299,2026-08-24 21:03:29,8483a2540f3a49c5a0691154066c1eda6256803ab2c946c632bc958bca9fdebd,8483a2540f3a49c5a0691154066c1eda6256803ab2c946c632bc958bca9fdebd,VERIFICADO
comparacion_n_palabras_calculado_ANOVA.csv,03_resultados/tablas_comparativas/comparacion_n_palabras_calculado_ANOVA.csv,Analisis agosto/analisis_piloto/tablas/comparacion_n_palabras_calculado_ANOVA.csv,PILOTO_COMPARATIVO,tabla que incluye la cohorte principal,Tabla comparativa: incluye la cohorte principal,SI,815,2026-08-24 21:10:07,7c6d9f8fd179c0bbcb604c16ebc17586f84848364fc492efc9fd676cc106e3c5,7c6d9f8fd179c0bbcb604c16ebc17586f84848364fc492efc9fd676cc106e3c5,VERIFICADO
comparacion_n_palabras_calculado_EMM.csv,03_resultados/tablas_comparativas/comparacion_n_palabras_calculado_EMM.csv,Analisis agosto/analisis_piloto/tablas/comparacion_n_palabras_calculado_EMM.csv,PILOTO_COMPARATIVO,tabla que incluye la cohorte principal,Tabla comparativa: incluye la cohorte principal,SI,2031,2026-08-24 21:10:07,1990b83c64b1984e4abf561da7760b2b1a05ba02990600790eb458bbb2f49e1f,1990b83c64b1984e4abf561da7760b2b1a05ba02990600790eb458bbb2f49e1f,VERIFICADO
descriptivos_condicion_tiempo.csv,03_resultados/tablas_comparativas/descriptivos_condicion_tiempo.csv,Analisis agosto/analisis_piloto/tablas/descriptivos_condicion_tiempo.csv,PILOTO_COMPARATIVO,tabla que incluye la cohorte principal,Tabla comparativa: incluye la cohorte principal,SI,2926,2026-08-24 21:03:33,77bdebc7ada8458dbf09a5860eb53f88eb81eaf0979ff054b34d5e4f7bb2fe0e,77bdebc7ada8458dbf09a5860eb53f88eb81eaf0979ff054b34d5e4f7bb2fe0e,VERIFICADO
interaccion_fuente_tiempo.csv,03_resultados/tablas_comparativas/interaccion_fuente_tiempo.csv,Analisis agosto/analisis_piloto/tablas/interaccion_fuente_tiempo.csv,PILOTO_COMPARATIVO,tabla que incluye la cohorte principal,Tabla comparativa: incluye la cohorte principal,SI,156,2026-08-24 21:10:07,7eac205535002ff6878bd159dfbf7b02343cd51ea8f059ecbb4441d390d7d424,7eac205535002ff6878bd159dfbf7b02343cd51ea8f059ecbb4441d390d7d424,VERIFICADO
principal_modelos_excluidos.csv,03_resultados/tablas_comparativas/principal_modelos_excluidos.csv,Analisis agosto/analisis_piloto/tablas/principal_modelos_excluidos.csv,PILOTO_COMPARATIVO,tabla que incluye la cohorte principal,Tabla comparativa: incluye la cohorte principal,SI,23,2026-08-24 21:06:55,acedba0731dd05019218726113357a91e281edea7f995802b082aeaa0b298b10,acedba0731dd05019218726113357a91e281edea7f995802b082aeaa0b298b10,VERIFICADO
resumen_modelos_validos.csv,03_resultados/tablas_comparativas/resumen_modelos_validos.csv,Analisis agosto/analisis_piloto/tablas/resumen_modelos_validos.csv,PILOTO_COMPARATIVO,tabla que incluye la cohorte principal,Tabla comparativa: incluye la cohorte principal,SI,893,2026-08-24 21:06:53,c699891d0d8721e4c3ea48af9b80bc9efb75bb7eb7c837d0754b7c6eb1e13d31,c699891d0d8721e4c3ea48af9b80bc9efb75bb7eb7c837d0754b7c6eb1e13d31,VERIFICADO
variables_comunes.csv,03_resultados/tablas_comparativas/variables_comunes.csv,Analisis agosto/analisis_piloto/tablas/variables_comunes.csv,PILOTO_COMPARATIVO,tabla que incluye la cohorte principal,Tabla comparativa: incluye la cohorte principal,SI,53,2026-08-24 20:51:09,1429aea44fac7c3a64cafc84613d7e20b0731a7023446ab30e8d71bc6ed15a29,1429aea44fac7c3a64cafc84613d7e20b0731a7023446ab30e8d71bc6ed15a29,VERIFICADO
auditoria_piloto.csv,03_resultados/tablas_piloto/auditoria_piloto.csv,Analisis agosto/analisis_piloto/tablas/auditoria_piloto.csv,PILOTO_TABLA,tabla del piloto,Tabla con resultados exclusivos del piloto,NO,330,2026-08-24 21:03:28,35f17c77df8b245c53db44243499b009ed577f01e50901f289a669b9b2fb20d8,35f17c77df8b245c53db44243499b009ed577f01e50901f289a669b9b2fb20d8,VERIFICADO
piloto_modelos_excluidos.csv,03_resultados/tablas_piloto/piloto_modelos_excluidos.csv,Analisis agosto/analisis_piloto/tablas/piloto_modelos_excluidos.csv,PILOTO_TABLA,tabla del piloto,Tabla con resultados exclusivos del piloto,NO,23,2026-08-24 21:06:54,acedba0731dd05019218726113357a91e281edea7f995802b082aeaa0b298b10,acedba0731dd05019218726113357a91e281edea7f995802b082aeaa0b298b10,VERIFICADO
piloto_n_palabras_calculado_EMM.csv,03_resultados/tablas_piloto/piloto_n_palabras_calculado_EMM.csv,Analisis agosto/analisis_piloto/tablas/piloto_n_palabras_calculado_EMM.csv,PILOTO_TABLA,tabla del piloto,Tabla con resultados exclusivos del piloto,NO,965,2026-08-24 21:06:56,6b7bca8cbdd2def5614fd28ee7ab40ac50e36c81dc50c5fa1a12c2b140007b2d,6b7bca8cbdd2def5614fd28ee7ab40ac50e36c81dc50c5fa1a12c2b140007b2d,VERIFICADO
